Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2019,9,9,8,51,ENG - Streets,Streets Operations,Street - Repair,500, - 599 W 28TH AV,South Cambie
2019,9,9,8,58,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,##,PACIFIC BOULEVARD,Downtown
2019,9,9,8,59,ENG - Streets,Streets Operations,Street - Surface Water Flooding,##,E PENDER ST,Downtown
2019,9,9,9,1,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,29##,W 6TH AV,Kitsilano
2019,9,9,9,2,ENG - Water & Sewer,Waterworks Operations,Water Service Turn On/Off Request,8##,E HASTINGS ST,Strathcona
2019,9,9,9,6,ENG - Streets,Streets Operations,Streets - General Issues,3##,E 2ND AV,Mount Pleasant
2019,9,9,9,11,Public Safety - Fire,Prevention,FPB_General Inquiry Case,10##,BROUGHTON ST,West End
2019,9,9,9,15,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,Intersection,N RENFREW ST and TRINITY ST,Hastings-Sunrise
2019,9,9,9,18,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,51##,EAST BOULEVARD,Shaughnessy
2019,9,9,9,24,ENG - Streets,Streets Operations,Street - Surface Water Flooding,Intersection,JACKSON AV and MALKIN AV and PRIOR ST,Strathcona
2019,9,9,9,31,DBL - Licensing & Animal Services,License Office,Gone Out of Business Case,30##,KINGSWAY,Renfrew-Collingwood
2019,9,9,9,33,DBL - Licensing & Animal Services,Animal Services,Animal Control General Inquiry Case,9##,W 58TH AV,Marpole
2019,9,9,9,33,ENG - Waste Management & Resource Recovery,Sanitation Operations,Collection Calendar Mail-Out Request,33##,W 2ND AV,Kitsilano
2019,9,9,9,34,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,3200, - 3299 W 41ST AV,Kerrisdale
2019,9,9,9,38,ENG - Streets,Streets Operations,Street - Surface Water Flooding,7##,E 62ND AV,Sunset
2019,9,9,9,42,ENG - Water & Sewer,Waterworks Operations,Water Service Turn On/Off Request,6##,E 43RD AV,Sunset
2019,9,9,9,47,ENG - Streets,Streets Operations,Sidewalk - Repair,7##,W HASTINGS ST,Downtown
2019,9,9,9,49,ENG - Streets,Streets Operations,Street - Repair,16##,BAYSHORE DRIVE,Downtown
2019,9,9,9,54,ENG - Water & Sewer,Waterworks Operations,Water Service Turn On/Off Request,22##,E 30TH AV,Kensington-Cedar Cottage
2019,9,9,9,54,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,28##,W 43RD AV,Kerrisdale
2019,9,9,10,2,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,35##,SLOCAN ST,Renfrew-Collingwood
2019,9,9,10,4,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,67##,GRANVILLE ST,Kerrisdale
2019,9,9,10,4,ENG - Streets,Streets Operations,Sidewalk - Repair,21##,E 6TH AV,Grandview-Woodland
2019,9,9,10,6,DBL - Administration,Administration Branch,General Information Request SR,30##,YEW ST,Kitsilano
2019,9,9,10,15,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,1##,W 7TH AV,Mount Pleasant
2019,9,9,10,24,DBL - Inspections,Property Use,PUI Noise Complaint Case,28##,W 15TH AV,Kitsilano
2019,9,9,10,29,ENG - Streets,"Streets, Traffic and Electrical Operations",Pavement Marking - Repair,Intersection,BOUNDARY ROAD and NAPIER ST,
2019,9,9,10,33,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Pole Repair,Intersection,HOMER ST and ROBSON ST,Downtown
2019,9,9,10,38,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,28##,E 19TH AV,Renfrew-Collingwood
2019,9,9,10,40,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,4##,W 6TH AV,Mount Pleasant
2019,9,9,10,41,ENG - Streets,Streets Operations,Pothole - Repair,Intersection,CLARK DRIVE and E 1ST AV and GRANDVIEW VIADUCT,Grandview-Woodland
2019,9,9,10,42,Public Safety - Fire,Prevention,FPB_General Inquiry Case,3##,COLUMBIA ST,Downtown
2019,9,9,11,2,DBL - Inspections,Property Use,PUI Noise Complaint Case,8##,BEATTY ST,Downtown
2019,9,9,11,4,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,30##,W 3RD AV,Kitsilano
2019,9,9,11,4,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,26##,GRANT ST,Hastings-Sunrise
2019,9,9,11,5,DBL - Administration,Administration Branch,General Information Request SR,30##,W 14TH AV,Kitsilano
2019,9,9,11,16,ENG - Streets,Streets Operations,Pothole - Repair,69##,BEATRICE ST,Victoria-Fraserview
2019,9,9,11,16,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,29##,E HASTINGS ST,Hastings-Sunrise
2019,9,9,11,17,ENG - Streets,Streets Operations,Sidewalk - Repair,1##,E 63RD AV,Sunset
2019,9,9,11,18,ENG - Streets,Streets Operations,Sidewalk - Repair,13##,W 10TH AV,Fairview
2019,9,9,11,19,ENG - Water & Sewer,Waterworks Operations,Water Service Turn On/Off Request,41##,YEW ST,Arbutus-Ridge
2019,9,9,11,21,ENG - Water & Sewer,Waterworks Operations,Water Hydrant Issue,87##,SW MARINE DRIVE,Marpole
2019,9,9,11,26,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,41##,YUCULTA CRESCENT,Dunbar-Southlands
2019,9,9,11,28,ENG - Water & Sewer,Waterworks Operations,Water Service Turn On/Off Request,41##,YUCULTA CRESCENT,Dunbar-Southlands
2019,9,9,11,35,ENG - Streets,Streets Operations,Street - Repair,71##,ELLIOTT ST,Victoria-Fraserview
2019,9,9,11,36,DBL - Inspections,Plumbing and Gas,Plumbing and Gas Inspection Cancellation Case,28##,E 23RD AV,Renfrew-Collingwood
2019,9,9,11,38,ENG - Water & Sewer,Sewers and Drainage Design,Sewer Design General Inquiries,6##,E 21ST AV,Riley Park
2019,9,9,11,41,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,15##,GRAVELEY ST,Grandview-Woodland
2019,9,9,11,41,ENG - Water & Sewer,Waterworks Operations,Water Service Turn On/Off Request,4##,E 57TH AV,Sunset
2019,9,9,11,53,ENG - Streets,Streets Operations,Streets - General Issues,83##,BEATRICE ST,Victoria-Fraserview
2019,9,9,11,53,DBL - Inspections,Property Use,PUI Noise Complaint Case,9##,SEYMOUR ST,Downtown
2019,9,9,11,54,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,10##,CHESTNUT ST,Kitsilano
2019,9,9,11,59,ENG - Water & Sewer,Sewers Operations,Sewer General Inquiries,83##,BEATRICE ST,Victoria-Fraserview
2019,9,9,12,0,DBL - Inspections,Property Use,PUI Noise Complaint Case,9##,SEYMOUR ST,Downtown
2019,9,9,12,0,Public Safety - Fire,Prevention,Fire Reinspection Request for Inspector,3##,UNADDRESSED LOCATION,
2019,9,9,12,3,DBL - Inspections,Plumbing and Gas,Plumbing and Gas Inspection Cancellation Case,45##,PRINCE ALBERT ST,Kensington-Cedar Cottage
2019,9,9,12,38,ENG - Streets,Streets Operations,Sidewalk - Repair,41##,CROWN CRESCENT,West Point Grey
2019,9,9,12,39,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,11##,W BROADWAY,Fairview
2019,9,9,12,45,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,33##,W 28TH AV,Dunbar-Southlands
2019,9,9,12,50,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,1##,E 15TH AV,Mount Pleasant
2019,9,9,12,51,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,33##,W 28TH AV,Dunbar-Southlands
2019,9,9,12,58,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,4##,BEACH CRESCENT,Downtown
2019,9,9,13,0,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,34##,CORNETT ROAD,Renfrew-Collingwood
2019,9,9,13,5,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,45##,DUNBAR ST,Dunbar-Southlands
2019,9,9,13,11,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,3##,E 32ND AV,Riley Park
2019,9,9,13,12,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,27##,WALL ST,Hastings-Sunrise
2019,9,9,13,17,ENG - Water & Sewer,Waterworks Operations,Water Work Site Complaint,21##,MCLEAN DRIVE,Grandview-Woodland
2019,9,9,13,17,ENG - Streets,Streets Operations,Streets - General Issues,27##,WALL ST,Hastings-Sunrise
2019,9,9,13,20,ENG - Streets,Streets Operations,Street - Repair,Intersection,DUNLEVY AV and E PENDER ST,Strathcona
2019,9,9,13,20,DBL - Licensing & Animal Services,Animal Services,Animal Control General Inquiry Case,31##,E 29TH AV,Renfrew-Collingwood
2019,9,9,13,22,ENG - Streets,Streets Operations,Street - Surface Water Flooding,3400, - 3499 BRIDGEWAY,Hastings-Sunrise
2019,9,9,13,28,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,Intersection,E PENDER ST and GORE AV,Strathcona
2019,9,9,13,31,Public Safety - Fire,Prevention,FPB_General Inquiry Case,21##,NANTON AV,Arbutus-Ridge
2019,9,9,13,37,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - New/Relocation,4##,E PENDER ST,Strathcona
2019,9,9,13,51,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,##,E 40TH AV,Riley Park
2019,9,9,14,0,ENG - Streets,Streets Operations,Streets - General Issues,2400, - 2499 SPRUCE ST,Fairview
2019,9,9,14,17,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,25##,WALLACE CRESCENT,West Point Grey
2019,9,9,14,18,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,43##,W 2ND AV,West Point Grey
2019,9,9,14,19,ENG - Streets,Streets Operations,Street - Surface Water Flooding,37##,W 12TH AV,West Point Grey
2019,9,9,14,19,ENG - Streets,Streets Operations,Street - Surface Water Flooding,Intersection,HIGHBURY ST and W 18TH AV,Dunbar-Southlands
2019,9,9,14,20,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,38##,W BROADWAY,West Point Grey
2019,9,9,14,21,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,29##,EUCLID AV,Renfrew-Collingwood
2019,9,9,14,21,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,43##,W 3RD AV,West Point Grey
2019,9,9,14,22,ENG - Streets,Streets Operations,Street - Surface Water Flooding,3900, - 3999 W 18TH AV,Dunbar-Southlands
2019,9,9,14,22,ENG - Water & Sewer,Sewers Operations,Sewer Manhole Issues,43##,W 3RD AV,West Point Grey
2019,9,9,14,22,ENG - Streets,Streets Operations,Street - Surface Water Flooding,3700, - 3799 W 7TH AV,
2019,9,9,14,22,ENG - Streets,Streets Operations,Street - Surface Water Flooding,25##,WALLACE CRESCENT,West Point Grey
2019,9,9,14,24,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,27##,E 57TH AV,Victoria-Fraserview
2019,9,9,14,27,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,3##,E 59TH AV,Sunset
2019,9,9,14,27,ENG - Streets,Streets Operations,Street - Surface Water Flooding,20##,ALMA ST,Kitsilano
2019,9,9,14,28,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,4200, - 4299 W 16TH AV,
2019,9,9,14,28,ENG - Water & Sewer,Sewers Operations,Sewer Manhole Issues,Intersection,TRIMBLE ST and W 3RD AV,West Point Grey
2019,9,9,14,30,ENG - Streets,Streets Operations,Street - Surface Water Flooding,41##,W 10TH AV,West Point Grey
2019,9,9,14,30,ENG - Streets,Streets Operations,Street - Surface Water Flooding,42##,W 14TH AV,West Point Grey
2019,9,9,14,32,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,Intersection,TRIMBLE ST and W 3RD AV,West Point Grey
2019,9,9,14,35,ENG - Water & Sewer,Waterworks Design,Water Conservation Violation,39##,W 36TH AV,Dunbar-Southlands
2019,9,9,14,36,ENG - Streets,Streets Operations,Street - Surface Water Flooding,39##,W 8TH AV,West Point Grey
2019,9,9,14,36,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,27##,E 57TH AV,Killarney
2019,9,9,14,37,ENG - Water & Sewer,Waterworks Operations,Water Hydrant Issue,1##,E PENDER ST,Downtown
2019,9,9,14,49,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,14##,W 46TH AV,Oakridge
2019,9,9,14,49,ENG - Streets,Streets Operations,Street - Surface Water Flooding,27##,W 11TH AV,Kitsilano
2019,9,9,14,50,ENG - Streets,Streets Operations,Sidewalk - Repair,9##,E 39TH AV,Kensington-Cedar Cottage
2019,9,9,14,57,ENG - Streets,Streets Operations,Street - Surface Water Flooding,41##,W 16TH AV,West Point Grey
2019,9,9,14,58,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,64##,GLADSTONE ST,Victoria-Fraserview
2019,9,9,15,1,ENG - Streets,Streets Operations,Street - Surface Water Flooding,30##,W 12TH AV,Kitsilano
2019,9,9,15,3,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,22##,E 49TH AV,Victoria-Fraserview
2019,9,9,15,14,ENG - Streets,Streets Operations,Street - Surface Water Flooding,32##,W 14TH AV,Kitsilano
2019,9,9,15,15,ENG - Streets,Streets Operations,Street - Surface Water Flooding,25##,CROWN ST,West Point Grey
2019,9,9,15,22,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,73##,ONTARIO ST,Sunset
2019,9,9,15,22,ENG - Water & Sewer,Waterworks Operations,Water Work Site Complaint,24##,W 16TH AV,Arbutus-Ridge
2019,9,9,15,23,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,56##,OBEN ST,Renfrew-Collingwood
2019,9,9,15,24,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,4##,ROBSON ST,Downtown
2019,9,9,15,26,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,3##,E 28TH AV,Riley Park
2019,9,9,15,29,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,8##,LILLOOET ST,Hastings-Sunrise
2019,9,9,15,39,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,16##,HARWOOD ST,West End
2019,9,9,15,45,ENG - Streets,Streets Operations,Sidewalk - Repair,17##,W 59TH AV,Marpole
2019,9,9,15,49,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,41##,W 16TH AV,Dunbar-Southlands
2019,9,9,15,52,ENG - Streets,Streets Operations,Streets - General Issues,12##,W 11TH AV,Fairview
2019,9,9,15,59,ENG - Streets,Streets Operations,Street - Repair,25##,WALLACE CRESCENT,West Point Grey
2019,9,9,16,1,DBL - Inspections,Property Use,PUI Noise Complaint Case,29##,EUCLID AV,Renfrew-Collingwood
2019,9,9,16,3,ENG - Streets,Streets Operations,Street - Surface Water Flooding,32##,W 10TH AV,Kitsilano
2019,9,9,16,6,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,42##,NANAIMO ST,Renfrew-Collingwood
2019,9,9,16,7,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,13##,MINTO CRESCENT,Shaughnessy
2019,9,9,16,7,ENG - Water & Sewer,Waterworks Operations,Water Work Site Complaint,23##,W 41ST AV,Arbutus-Ridge
2019,9,9,16,11,ENG - Streets,Streets Operations,Street - Surface Water Flooding,19##,PENTICTON ST,Hastings-Sunrise
2019,9,9,16,11,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,23##,BRUNSWICK ST,Mount Pleasant
2019,9,9,16,11,ENG - Streets,Streets Operations,Street - Surface Water Flooding,19##,PENTICTON ST,Hastings-Sunrise
2019,9,9,16,11,ENG - Water & Sewer,Sewers Operations,Sewer Manhole Issues,39##,W 10TH AV,West Point Grey
2019,9,9,16,12,ENG - Streets,Streets Operations,Street - Surface Water Flooding,10##,CANADA PLACE,Downtown
2019,9,9,16,13,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,15##,E 5TH AV,Grandview-Woodland
2019,9,9,16,13,ENG - Water & Sewer,Sewers Operations,Sewer Manhole Issues,1##,WATER ST,Downtown
2019,9,9,16,13,ENG - Streets,Streets Operations,Street - Surface Water Flooding,##,W CORDOVA ST,Downtown
2019,9,9,16,14,ENG - Streets,Streets Operations,Street - Surface Water Flooding,2##,CARRALL ST,Downtown
2019,9,9,16,14,ENG - Streets,Streets Operations,Street - Surface Water Flooding,1##,E HASTINGS ST,Downtown
2019,9,9,16,15,ENG - Water & Sewer,Sewers Operations,Sewer Manhole Issues,800, - 899 POWELL ST,Strathcona
2019,9,9,16,15,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,43##,W 3RD AV,West Point Grey
2019,9,9,16,17,ENG - Streets,Streets Operations,Street - Surface Water Flooding,8##,GRIFFITHS WAY,Downtown
2019,9,9,16,18,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,16##,W 41ST AV,Shaughnessy
2019,9,9,16,18,ENG - Streets,Streets Operations,Street - Surface Water Flooding,19##,POWELL ST,Grandview-Woodland
2019,9,9,16,18,ENG - Streets,Streets Operations,Street - Surface Water Flooding,6##,EXPO BOULEVARD,Downtown
2019,9,9,16,18,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,Intersection,COLUMBIA ST and E PENDER ST,Downtown
2019,9,9,16,20,ENG - Streets,Streets Operations,Street - Surface Water Flooding,4##,NELSON ST,Downtown
2019,9,9,16,21,ENG - Streets,Streets Operations,Street - Surface Water Flooding,##,ALEXANDER ST,Downtown
2019,9,9,16,22,ENG - Streets,Streets Operations,Street - Surface Water Flooding,2##,E GEORGIA ST,Strathcona
2019,9,9,16,22,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,43##,W 3RD AV,West Point Grey
2019,9,9,16,23,ENG - Streets,Streets Operations,Street - Surface Water Flooding,25##,GLEN DRIVE,Mount Pleasant
2019,9,9,16,23,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,16##,W 41ST AV,Shaughnessy
2019,9,9,16,25,ENG - Water & Sewer,Sewers Operations,Sewer Manhole Issues,100, - 199 ALEXANDER ST,Downtown
2019,9,9,16,27,ENG - Streets,Streets Operations,Street - Surface Water Flooding,2##,BURRARD ST,Downtown
2019,9,9,16,27,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,4##,E 50TH AV,Sunset
2019,9,9,16,28,ENG - Streets,Streets Operations,Street - Surface Water Flooding,##,SMITHE ST,Downtown
2019,9,9,16,28,ENG - Streets,Streets Operations,Street - Surface Water Flooding,8##,POWELL ST,Strathcona
2019,9,9,16,29,ENG - Streets,Streets Operations,Street - Surface Water Flooding,10##,RICHARDS ST,Downtown
2019,9,9,16,29,ENG - Water & Sewer,Sewers Operations,Sewer Manhole Issues,Intersection,CLARK DRIVE and POWELL ST,Grandview-Woodland
2019,9,9,16,30,ENG - Streets,Streets Operations,Street - Surface Water Flooding,1##,KEEFER ST,Downtown
2019,9,9,16,31,ENG - Streets,Streets Operations,Street - Surface Water Flooding,25##,GRANT ST,Hastings-Sunrise
2019,9,9,16,32,ENG - Streets,Streets Operations,Street - Surface Water Flooding,1##,ALEXANDER ST,Downtown
2019,9,9,16,36,ENG - Streets,Streets Operations,Street - Surface Water Flooding,2##,NELSON ST,Downtown
2019,9,9,16,36,ENG - Streets,Streets Operations,Street - Surface Water Flooding,9##,BEATTY ST,Downtown
2019,9,9,16,36,ENG - Streets,Streets Operations,Street - Surface Water Flooding,27##,NATAL ST,Renfrew-Collingwood
2019,9,9,16,36,ENG - Streets,Streets Operations,Street - Surface Water Flooding,##,POWELL ST,Downtown
2019,9,9,16,37,ENG - Streets,Streets Operations,Street - Surface Water Flooding,17##,BARCLAY ST,West End
2019,9,9,16,38,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,23##,KITCHENER ST,Grandview-Woodland
2019,9,9,16,41,ENG - Streets,Streets Operations,Street - Surface Water Flooding,24##,NANAIMO ST,Grandview-Woodland
2019,9,9,16,42,ENG - Streets,Streets Operations,Street - Surface Water Flooding,16##,W GEORGIA ST,West End
2019,9,9,16,43,ENG - Streets,Streets Operations,Street - Surface Water Flooding,19##,POWELL ST,Grandview-Woodland
2019,9,9,16,44,ENG - Streets,Streets Operations,Street - Surface Water Flooding,4##,CARRALL ST,Downtown
2019,9,9,16,46,ENG - Streets,Streets Operations,Street - Surface Water Flooding,22##,E 8TH AV,Grandview-Woodland
2019,9,9,16,48,ENG - Streets,Streets Operations,Street - Surface Water Flooding,800, - 899 POWELL ST,Strathcona
2019,9,9,16,48,ENG - Streets,Streets Operations,Street - Surface Water Flooding,3##,W BROADWAY,Mount Pleasant
2019,9,9,16,51,ENG - Streets,Streets Operations,Street - Surface Water Flooding,##,WATER ST,Downtown
2019,9,9,16,51,ENG - Streets,Streets Operations,Street - Surface Water Flooding,24##,WILLIAM ST,Hastings-Sunrise
2019,9,9,16,53,ENG - Streets,Streets Operations,Street - Surface Water Flooding,9##,BEATTY ST,Downtown
2019,9,9,16,56,ENG - Streets,Streets Operations,Street - Surface Water Flooding,8##,GORE AV,Strathcona
2019,9,9,16,57,ENG - Streets,Streets Operations,Street - Surface Water Flooding,8##,E CORDOVA ST,Strathcona
2019,9,9,16,58,ENG - Streets,Streets Operations,Street - Surface Water Flooding,9##,BEATTY ST,Downtown
2019,9,9,16,58,ENG - Streets,Streets Operations,Street - Surface Water Flooding,6##,HEATLEY AV,Strathcona
2019,9,9,16,59,ENG - Streets,Streets Operations,Street - Surface Water Flooding,16##,W GEORGIA ST,West End
2019,9,9,17,0,ENG - Streets,Streets Operations,Street - Surface Water Flooding,28##,GRANT ST,Hastings-Sunrise
2019,9,9,17,6,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,3##,W BROADWAY,Mount Pleasant
2019,9,9,17,7,ENG - Streets,Streets Operations,Street - Surface Water Flooding,##,COMMERCIAL DRIVE,Grandview-Woodland
2019,9,9,17,10,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,24##,BRUNSWICK ST,Mount Pleasant
2019,9,9,17,11,Public Safety - Fire,Prevention,Fire Reinspection Request for Firehall,12##,BARCLAY ST,West End
2019,9,9,17,13,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,56##,ANGUS DRIVE,Shaughnessy
2019,9,9,17,14,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,25##,GLEN DRIVE,Mount Pleasant
2019,9,9,17,15,ENG - Streets,Streets Operations,Street - Surface Water Flooding,5##,CARRALL ST,Downtown
2019,9,9,17,15,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,4##,W WATERFRONT ROAD,Downtown
2019,9,9,17,16,DBL - Inspections,Property Use,PUI Noise Complaint Case,2##,E GEORGIA ST,Strathcona
2019,9,9,17,16,ENG - Streets,Streets Operations,Street - Surface Water Flooding,1##,W 2ND AV,Mount Pleasant
2019,9,9,17,21,ENG - Streets,Streets Operations,Street - Surface Water Flooding,30##,E PENDER ST,Hastings-Sunrise
2019,9,9,17,22,ENG - Streets,Streets Operations,Street - Surface Water Flooding,1100, - 1299 STATION ST,Strathcona
2019,9,9,17,26,ENG - Streets,Streets Operations,Street - Surface Water Flooding,16##,W GEORGIA ST,West End
2019,9,9,17,29,ENG - Streets,Streets Operations,Street - Surface Water Flooding,1000, - 1099 EXPO BOULEVARD,Downtown
2019,9,9,17,34,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,30##,CHARLES ST,Hastings-Sunrise
2019,9,9,17,53,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,83##,TIDEWATER PLACE,Kerrisdale
2019,9,9,17,57,DBL - Inspections,Property Use,PUI General Inquiry Case,10##,DOUGLAS CRESCENT,Shaughnessy
2019,9,9,17,59,ENG - Streets,Streets Operations,Street - Surface Water Flooding,8##,QUEBEC ST,Downtown
2019,9,9,18,1,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,3##,E 1ST AV,Strathcona
2019,9,9,18,5,ENG - Streets,Streets Operations,Street - Surface Water Flooding,23##,KITCHENER ST,Grandview-Woodland
2019,9,9,18,7,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,14##,E BROADWAY,Kensington-Cedar Cottage
2019,9,9,18,7,ENG - Streets,Streets Operations,Streets - General Issues,23##,KITCHENER ST,Grandview-Woodland
2019,9,9,18,15,ENG - Streets,Streets Operations,Street - Surface Water Flooding,10##,CAMBIE ST,Downtown
2019,9,9,18,23,ENG - Streets,Streets Operations,Street - Repair,2100, - 2199 PRINCE EDWARD ST,Mount Pleasant
2019,9,9,18,36,ENG - Streets,Streets Operations,Street - Repair,22##,WAVERLEY AV,Victoria-Fraserview
2019,9,9,18,45,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,34##,YUKON ST,Riley Park
2019,9,9,18,45,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,43##,W 15TH AV,West Point Grey
2019,9,9,18,45,ENG - Streets,Streets Operations,Street - Surface Water Flooding,24##,LARCH ST,Kitsilano
2019,9,9,18,47,ENG - Streets,Streets Operations,Street - Surface Water Flooding,17##,W 4TH AV,Fairview
2019,9,9,18,47,ENG - Streets,Streets Operations,Street - Surface Water Flooding,9##,HOWE ST,Downtown
2019,9,9,18,57,ENG - Streets,Streets Operations,Street - Repair,24##,E 23RD AV,Renfrew-Collingwood
2019,9,9,19,16,ENG - Streets,Streets Operations,Street - Surface Water Flooding,21##,ALBERTA ST,Mount Pleasant
2019,9,9,19,19,ENG - Streets,Streets Operations,Street - Surface Water Flooding,13##,BURRARD ST,Downtown
2019,9,9,19,20,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,53##,INVERNESS ST,Kensington-Cedar Cottage
2019,9,9,19,29,DBL - Inspections,Property Use,PUI Noise Complaint Case,12##,RICHARDS ST,Downtown
2019,9,9,19,32,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,19##,W 2ND AV,Kitsilano
2019,9,9,19,42,ENG - Streets,Streets Operations,Street - Surface Water Flooding,22##,VINE ST,
2019,9,9,19,44,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,5##,RICHARDS ST,Downtown
2019,9,9,19,52,ENG - Water & Sewer,Waterworks Operations,Water Pressure or No Water Issue,63##,VINE ST,Kerrisdale
2019,9,9,20,5,ENG - Water & Sewer,Waterworks Design,Water Conservation Violation,17##,W 14TH AV,Fairview
2019,9,9,20,17,ENG - Streets,Streets Operations,Street - Surface Water Flooding,6##,W HASTINGS ST,Downtown
2019,9,9,20,19,ENG - Streets,Streets Operations,Street - Surface Water Flooding,9##,CANADA PLACE,Downtown
2019,9,9,20,28,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,35##,W 48TH AV,Dunbar-Southlands
2019,9,9,20,30,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,23##,RUPERT ST,Hastings-Sunrise
2019,9,9,20,37,DBL - Inspections,Property Use,PUI Noise Complaint Case,2##,POWELL ST,Strathcona
2019,9,9,20,53,ENG - Water & Sewer,Waterworks Operations,Water Hydrant Issue,23##,RUPERT ST,Hastings-Sunrise
2019,9,9,20,59,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,3100, - 3199 DIEPPE DRIVE,Renfrew-Collingwood
