Corridor Name,StartStreetName,EndStreetName,Route No.,District,Inspector,Side of Street,Type of Street,Clean Corridor,Fiscal Year,Quarter of Inspection,Year/Month,Date of Inspection,Start Time,End Time,Sweeping Day(s),Sweeping Time(s),streetclean_cleanto5,1.1 Litter Count,2.1,2.1 Litter Count,2.2,2.3,2.4,2.5,avg_graffiti,3.2,3.3,4.1,4.2,perc_cleanaroundtrashbin,4.4,4.5,4.6,4.0 Pass?,5.1,5.2,5.3,5.4
Lombard,Laguna,Pierce,19,2,CSA,North,Commercial,No,2007-2008,Q3,2008-09-Mar,3/20/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1,N/A,1,N/A,99,0.6,Yes,No,0,0.8,1,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,87.9,100,93.9,97
Octavia,Lombard,Vallejo,19,2,CSA,East,Residential,No,2007-2008,Q3,2008-09-Mar,3/20/2008 0:00,1:30 PM,2:45 PM,Not Recorded,Not Recorded,1,N/A,1,N/A,99.9,0,Yes,Yes,0,0.2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,88.5,65.4,34.6
Columbus,Powell,Pacific,1,3,MNC,Northeast,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/25/2008 0:00,8:00 AM,12:30 PM,Not Recorded,Not Recorded,1.8,N/A,1.53,N/A,97.3,0.13,Yes,No,0,4.6,12.2,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,93.1,93.1,100,100
Francisco,Grant,Jones,3,3,CSA,South,Residential,No,2007-2008,Q3,2008-09-Mar,3/12/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.42,N/A,2.5,N/A,100,0.5,No,No,0,10,1.33,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,37,94.4,57.4,90.7
Grant,Broadway,California,2,3,MNC,West,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/25/2008 0:00,1:20 PM,5:30 PM,Not Recorded,Not Recorded,2.18,N/A,2,N/A,96.8,0.2,Yes,No,0.4,3.8,34.8,66.70%,66.70%,33.30%,100.00%,66.70%,100.00%,No,,,,
Grant,Jackson,Filbert,19,3,CSA,West,Commercial,No,2007-2008,Q3,2008-09-Mar,3/12/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.19,N/A,2.28,N/A,99.6,0.33,Yes,Yes,0,10,11.67,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,0,0,0,100
Kearny,Columbus,California,7,3,MNC,East,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/25/2008 0:00,6:30 PM,9:30 PM,Not Recorded,Not Recorded,1.8,N/A,1.8,N/A,97.2,0,Yes,Yes,0,0.4,21,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,100,100,100,100
Larkin,O'Farrell,Sacramento,5,3,MNC,West,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/26/2008 0:00,5:30 PM,7:30 PM,Not Recorded,Not Recorded,2.8,N/A,2.5,N/A,96.2,0.3,No,No,0,15,19.8,66.70%,66.70%,33.30%,100.00%,66.70%,100.00%,No,82.4,82.4,100,100
Polk,California,Broadway,8,3,MNC,West,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/26/2008 0:00,10:00 AM,12:00 PM,Not Recorded,Not Recorded,2.6,N/A,2.1,N/A,96.3,0.1,No,No,0.2,4.2,11.6,100.00%,80.00%,80.00%,100.00%,100.00%,100.00%,Yes,70,70,100,100
Stockton,Green,Sacramento,3,3,MNC,West,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/25/2008 0:00,11:15 AM,2:15 PM,Not Recorded,Not Recorded,2.35,N/A,2.2,N/A,96.4,0.2,No,No,0,6.6,48.2,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,,,,
41st Avenue,Ortega,Santiago,,4,CSA,West,Residential,No,2007-2008,Q3,2008-09-Mar,3/12/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1,N/A,1,N/A,100,0.6,Yes,Yes,12,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,100,100,100
Irving,19th Avenue,25th Avenue,40,4,MNC,North,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/18/2008 0:00,5:30 PM,8:30 PM,Not Recorded,Not Recorded,2.1,N/A,1.5,N/A,97.1,0,Yes,Yes,0.4,5.4,18.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,88.9,88.9,100,100
Noriega,19th Avenue,24th Avenue,7,4,CSA,South,Commercial,No,2007-2008,Q3,2008-09-Mar,3/12/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1,N/A,1,N/A,99,4,Yes,Yes,2,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,100,80,100
Divisadero,Geary,McAllister,12,5,MNC,West,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/25/2008 0:00,10:30 AM,1:30 PM,Not Recorded,Not Recorded,2.7,N/A,2.1,N/A,96.2,0,Yes,No,0.4,2.2,13.4,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,38.2,38.2,97.1,97.1
Divisadero,Haight,McAllister,13,5,MNC,West,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/26/2008 0:00,2:00 PM,5:00 PM,Not Recorded,Not Recorded,2.75,N/A,2.3,N/A,96.4,0,No,No,0,4.8,29.2,100.00%,100.00%,80.00%,100.00%,100.00%,100.00%,Yes,82.1,82.1,100,100
Haight,Masonic,Central,29,5,MNC,North,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/18/2008 0:00,4:00 PM,5:00 PM,Not Recorded,Not Recorded,3,N/A,2,N/A,96.7,1,Yes,Yes,0,28,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.3,64.3,92.9,92.9
Haight,Stanyan,Masonic,16,5,MNC,North,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/18/2008 0:00,7:00 AM,10:00 AM,Not Recorded,Not Recorded,2.77,N/A,2.52,N/A,95.9,0,No,No,0.8,50.2,53,100.00%,100.00%,62.50%,100.00%,100.00%,100.00%,Yes,50,50,97.4,97.4
Haight,Webster,Divisadero,17,5,MNC,North,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/18/2008 0:00,10:15 AM,1:00 PM,Not Recorded,Not Recorded,1.98,N/A,1.88,N/A,96.9,0.13,Yes,No,0,4.2,35,50.00%,50.00%,50.00%,100.00%,50.00%,100.00%,No,91.7,91.7,95.8,95.8
Irving,6th Avenue,11th Avenue,16,5,CSA,North,Commercial,No,2007-2008,Q3,2008-09-Mar,3/20/2008 0:00,8:10 AM,9:20 AM,Not Recorded,Not Recorded,2.62,N/A,2.2,N/A,97.2,0.6,No,No,1.4,2.2,9,83.30%,66.70%,66.70%,50.00%,83.30%,100.00%,No,40,86.7,46.7,86.7
Irving,6th Avenue,Funston,41,5,MNC,North,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/18/2008 0:00,8:45 PM,11:45 PM,Not Recorded,Not Recorded,1.5,N/A,1.3,N/A,97.6,0,Yes,No,0.4,2,22,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,57.1,57.1,100,100
Pine,Octavia,Steiner,,5,CSA,North,Residential,No,2007-2008,Q3,2008-09-Mar,3/20/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.05,N/A,1.9,N/A,96.9,1.2,No,No,1.2,1.8,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.4,90.4,46.2,88.5
16th Street,Valencia,Folsom,24,6,MNC,North,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/11/2008 0:00,7:00 AM,9:00 AM,Not Recorded,Not Recorded,2.5,N/A,2.26,N/A,96,0.1,No,No,0.4,0.6,10.2,100.00%,100.00%,80.00%,100.00%,100.00%,100.00%,Yes,52.4,52.4,100,100
Franklin,O'Farrell,Ellis,,6,CSA,West,Residential,No,2007-2008,Q3,2008-09-Mar,3/18/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1.5,N/A,1.5,N/A,98.5,1.5,Yes,Yes,0,0.5,1.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.4,85.7,85.7,85.7
Geary,Jones,Van Ness,9,6,MNC,South,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/4/2008 0:00,6:45 PM,9:00 PM,Not Recorded,Not Recorded,2.47,N/A,2,N/A,96.5,0.67,Yes,No,0,6.4,28.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.2,72.2,94.4,94.4
Mission,1st Street,4th Street,,6,CSA,South,Commercial,No,2007-2008,Q3,2008-09-Mar,3/18/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1,N/A,1.49,N/A,98.8,1.2,Yes,Yes,0,3.8,0.5,100.00%,100.00%,50.00%,100.00%,100.00%,100.00%,Yes,100,100,96.9,100
Mission,Duboce,18th Street,27,6,MNC,West,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/11/2008 0:00,8:00 AM,11:00 AM,Not Recorded,Not Recorded,2.51,N/A,2.14,N/A,96.4,0.1,No,No,0.2,21.8,41.6,100.00%,100.00%,66.70%,100.00%,100.00%,100.00%,Yes,63.2,63.2,100,100
Polk,California,O'Farrell,8,6,MNC,West,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/26/2008 0:00,7:45 AM,9:45 AM,Not Recorded,Not Recorded,2.7,N/A,2.5,N/A,96.2,0,Yes,No,0.2,10.2,27.6,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,80,80,100,100
Valencia,16th Street,17th Street,,6,MNC,West,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/12/2008 0:00,7:00 AM,8:00 AM,Not Recorded,Not Recorded,2.25,N/A,2,N/A,95.8,0,Yes,No,0,1,13,100.00%,100.00%,50.00%,100.00%,100.00%,100.00%,Yes,100,100,100,100
Arballo,Vidal,Vidal,,7,CSA,West,Residential,No,2007-2008,Q3,2008-09-Mar,3/18/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1.15,N/A,1.75,N/A,100,0,Yes,Yes,0.5,2.25,0,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,100,86.7,100,100
Ocean,Capitol,Manor,38,7,MNC,North,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/5/2008 0:00,11:00 AM,2:00 PM,Not Recorded,Not Recorded,2,N/A,2,N/A,96.6,0,Yes,No,0,0.2,13.2,100.00%,100.00%,50.00%,100.00%,100.00%,100.00%,Yes,88.2,88.2,100,100
Ocean,Capitol,Phelan,37,7,MNC,North,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/5/2008 0:00,8:00 AM,11:00 AM,Not Recorded,Not Recorded,2.03,N/A,1.63,N/A,96.4,0.1,Yes,No,0,0.6,4,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,85.3,85.3,100,100
Ocean,Junipero Serra,19th Avenue,12,7,CSA,North,Commercial,No,2007-2008,Q3,2008-09-Mar,3/18/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1.27,N/A,1.13,N/A,100,0.2,Yes,Yes,0.8,0.6,3,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,38.5,100,0,100
West Portal,Ulloa,15th Avenue,39,7,MNC,Northwest,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/19/2008 0:00,9:30 AM,10:30 AM,Not Recorded,Not Recorded,2.93,N/A,2.13,N/A,96.3,0,No,No,1,7,46.5,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,55.1,55.1,95.9,98
18th Street,Church,Dolores,25,8,MNC,North,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/5/2008 0:00,9:30 AM,10:30 AM,Not Recorded,Not Recorded,2.75,N/A,1.75,N/A,96.3,0,No,No,0,1,9,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,100,100,100,100
24th Street,Church,Diamond,13,8,CSA,South,Commercial,No,2007-2008,Q3,2008-09-Mar,3/11/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1.12,N/A,1,N/A,100,0.4,Yes,Yes,0,5.6,2.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,100,100,89.3,96.4
Bosworth,Diamond,Arlington,,8,MNC,West,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/5/2008 0:00,5:00 PM,6:00 PM,Not Recorded,Not Recorded,3,N/A,2.67,N/A,95.3,0,Yes,No,0,2,6,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,Yes,50,50,90,100
Chenery,Diamond,Castro,33,8,MNC,West,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/5/2008 0:00,2:30 PM,3:30 PM,Not Recorded,Not Recorded,2,N/A,1.25,N/A,96.8,0,Yes,No,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,100,81.8,100
Church,Duboce,18th Street,26,8,MNC,West,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/5/2008 0:00,6:30 PM,9:30 PM,Not Recorded,Not Recorded,2.7,N/A,2.25,N/A,96,0.85,No,No,0,1.2,9.4,87.50%,87.50%,37.50%,100.00%,87.50%,100.00%,No,68.5,68.5,96.3,98.1
Diamond,Chenery,Monterey,33,8,MNC,West,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/15/2008 0:00,3:30 PM,5:00 PM,Not Recorded,Not Recorded,2.5,N/A,2.11,N/A,96.7,0,Yes,No,0,0.33,17.67,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,50,50,100,100
Dolores,18th Street,23rd Street,,8,CSA,East,Residential,No,2007-2008,Q3,2008-09-Mar,3/11/2008 0:00,2:45 PM,4:00 PM,Not Recorded,Not Recorded,1.93,N/A,1,N/A,100,1.67,No,Yes,0.17,10.67,10.5,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,91.2,100,44.1,94.1
24th Street,Folsom,Valencia,31,9,MNC,North,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/14/2008 0:00,5:30 PM,8:30 PM,Not Recorded,Not Recorded,2.45,N/A,2.1,N/A,96.1,0,Yes,No,0,2.2,38,100.00%,100.00%,66.70%,100.00%,100.00%,100.00%,Yes,70.7,70.7,100,100
24th Street,Potrero,Folsom,30,9,MNC,South,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/19/2008 0:00,2:30 PM,5:30 PM,Not Recorded,Not Recorded,2.55,N/A,2.3,N/A,96.5,0,No,No,0,1.4,33,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,76.4,76.4,100,100
Eugenia,Mission,Bocana,22,9,CSA,South,Residential,No,2007-2008,Q3,2008-09-Mar,3/19/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1.83,N/A,1.47,N/A,94,0,Yes,No,0.6,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.3,100,43.8,100
Mission,18th Street,22nd Street,28,9,MNC,West,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/11/2008 0:00,11:00 AM,2:00 PM,Not Recorded,Not Recorded,1.85,N/A,1.85,N/A,96.9,0,No,No,0.5,15.25,61.25,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,73.9,73.9,87,87
Mission,22nd Street,Cesar Chavez,29,9,MNC,West,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/11/2008 0:00,3:00 PM,5:00 PM,Not Recorded,Not Recorded,2.78,N/A,2.68,N/A,95.1,0.55,No,No,1.4,10,51.4,100.00%,100.00%,60.00%,80.00%,100.00%,100.00%,Yes,32.5,32.5,97.5,97.5
Valencia,23rd Street,Mission,,9,CSA,West,Commercial,No,2007-2008,Q3,2008-09-Mar,3/19/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.12,N/A,1.67,N/A,88.7,1.17,No,No,3.17,1.5,22.17,100.00%,100.00%,66.70%,100.00%,100.00%,100.00%,Yes,0,100,31,100
Kansas,17th Street,21st Street,9,10,CSA,West,Residential,No,2007-2008,Q3,2008-09-Mar,3/20/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1.53,N/A,1.99,N/A,99.7,0.8,Yes,No,0,6.8,4.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.9,91.7,58.3,85.4
Leland,Bayshore,Cora,23,10,MNC,North,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/12/2008 0:00,8:30 AM,11:00 AM,Not Recorded,Not Recorded,2.7,N/A,2.2,N/A,95.9,0,No,No,0,0.4,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.3,64.3,85.7,92.9
Oakdale,Industrial,Bayshore,,10,CSA,South,Commercial,No,2007-2008,Q3,2008-09-Mar,3/19/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1.9,N/A,2.41,N/A,98.7,0,No,No,0,0,0.4,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,Yes,35.7,78.6,71.4,92.9
San Bruno,Silver,Wayland,22,10,MNC,West,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/12/2008 0:00,7:00 PM,10:00 PM,Not Recorded,Not Recorded,2.3,N/A,1.9,N/A,95.9,0,No,No,0.8,1.4,10.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,55,55,100,100
Geneva,Alemany,Naples,36,11,MNC,North,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/12/2008 0:00,3:00 PM,6:00 PM,Not Recorded,Not Recorded,2.62,N/A,2.37,N/A,96.2,0.5,No,No,0,3.6,20,66.70%,66.70%,66.70%,100.00%,66.70%,100.00%,No,92.3,92.3,100,100
Geneva,Paris,Alemany,,11,CSA,North,Commercial,No,2007-2008,Q3,2008-09-Mar,3/19/2008 0:00,2:30 PM,3:00 PM,Not Recorded,Not Recorded,1.75,N/A,2.25,N/A,98,1.75,Yes,Yes,2.5,1,15.5,100.00%,100.00%,50.00%,100.00%,100.00%,100.00%,Yes,33.3,100,33.3,100
Mission,France,Rolph,35,11,MNC,West,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/11/2008 0:00,9:00 PM,11:30 PM,Not Recorded,Not Recorded,2.38,N/A,2.29,N/A,96.1,0,Yes,No,2,3.75,18.75,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,57.1,57.1,100,100
Naples,Geneva,Rolph,35,11,MNC,West,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/12/2008 0:00,1:30 PM,2:30 PM,Not Recorded,Not Recorded,3,N/A,3,N/A,96,0,No,No,0,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
Ocean,Mission,Alemany,37,11,MNC,North,Commercial,Yes,2007-2008,Q3,2008-09-Mar,3/12/2008 0:00,12:00 PM,1:00 PM,Not Recorded,Not Recorded,3,N/A,2.75,N/A,95.8,0,Yes,Yes,0,1.5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,50,50,100
Santa Rosa,San Jose,Mission,5,11,CSA,South,Residential,No,2007-2008,Q3,2008-09-Mar,3/20/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1.98,N/A,1.96,N/A,99.3,1.25,No,No,0,6.25,1.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72,68,60,80
Anza,25th Avenue,30th Avenue,2,1,MNC,South,Residential,No,2007-2008,Q4,2008-10-Apr,4/17/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.2,N/A,1.5,N/A,97.5,0,No,No,0,0.4,0.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.9,75.9,93.1,100
Clement,21st Avenue,26th Avenue,1,1,MNC,South,Commercial,No,2007-2008,Q4,2008-10-Apr,4/17/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.1,N/A,1.6,N/A,97.3,0,Yes,No,0.4,7.2,4.6,100.00%,100.00%,66.70%,100.00%,100.00%,100.00%,Yes,100,100,100,100
Fillmore,Union,Chestnut,3,2,MNC,East,Commercial,No,2007-2008,Q4,2008-10-Apr,4/8/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.25,N/A,2,N/A,96.5,0,Yes,No,0.25,4.75,17.25,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,76.5,76.5,94.1,94.1
Franklin,Broadway,Greenwich,4,2,MNC,West,Residential,No,2007-2008,Q4,2008-10-Apr,4/29/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2,N/A,1.8,N/A,97.1,0.4,No,Yes,0,1.2,0.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,100,100,100
Battery,Union,Broadway,5,3,MNC,West,Commercial,No,2007-2008,Q4,2008-10-Apr,4/21/2008 0:00,12:00 PM,2:00 PM,Not Recorded,Not Recorded,2,N/A,1.67,N/A,96.7,0,Yes,Yes,0,4.67,0.67,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,52.6,52.6,100,100
Washington,Larkin,Mason,6,3,MNC,South,Residential,No,2007-2008,Q4,2008-10-Apr,4/29/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.8,N/A,2.13,N/A,96.3,0.13,No,No,0,6.2,6,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,61.5,61.5,100,100
Lincoln,30th Avenue,35th Avenue,8,4,MNC,South,Residential,No,2007-2008,Q4,2008-10-Apr,4/17/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1.8,N/A,1.4,N/A,97.4,0,No,No,0,2.4,0.2,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,66.7,66.7,66.7,66.7
Taraval,19th Avenue,24th Avenue,42,4,MNC,South,Commercial,No,2007-2008,Q4,2008-10-Apr,4/10/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.5,N/A,2.1,N/A,96.7,0,Yes,Yes,0,2.4,12.4,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,71.4,71.4,100,100
Fillmore,Post,California,9,5,MNC,East,Commercial,No,2007-2008,Q4,2008-10-Apr,4/8/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2,N/A,1.38,N/A,97,0,Yes,Yes,0,4.75,25.5,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,97.4,97.4,100,100
Webster,Ellis,Fulton,10,5,MNC,East,Residential,No,2007-2008,Q4,2008-10-Apr,4/8/2008 0:00,9:00 AM,12:00 PM,Not Recorded,Not Recorded,2.8,N/A,2.3,N/A,96.1,0,Yes,No,0.6,0.6,0,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,91.3,91.3,100,100
16th Street,Guerrero,Capp,11,6,MNC,South,Commercial,No,2007-2008,Q4,2008-10-Apr,4/28/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.75,N/A,2.58,N/A,95.9,0,No,No,0,10.33,30.67,100.00%,100.00%,66.70%,100.00%,100.00%,100.00%,Yes,47.1,47.1,100,100
Brannan,Embarcadero,3rd Street,12,6,MNC,Southeast,Residential,No,2007-2008,Q4,2008-10-Apr,4/21/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.12,N/A,2,N/A,96.8,0,No,No,0,8.67,33,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,80.9,80.9,100,100
Monterey,San Rafael,Santa Clara,14,7,MNC,South,Residential,No,2007-2008,Q4,2008-10-Apr,4/15/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1.8,N/A,1.63,N/A,97,0,Yes,Yes,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,100,100,100
Taraval,14th Avenue,19th Avenue,13,7,MNC,South,Commercial,No,2007-2008,Q4,2008-10-Apr,4/10/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.5,N/A,2.13,N/A,96.5,0.63,No,No,0,1.5,13.25,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,Yes,55.6,55.6,100,100
Market,Laguna,Noe,15,8,MNC,Northwest,Commercial,No,2007-2008,Q4,2008-10-Apr,4/14/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.04,N/A,2.29,N/A,96.8,0.29,No,No,0,5.25,33.75,100.00%,100.00%,83.30%,100.00%,100.00%,100.00%,Yes,90.5,90.5,100,100
Noe,Market,Duboce,16,8,MNC,East,Residential,No,2007-2008,Q4,2008-10-Apr,4/28/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1.84,N/A,1.4,N/A,97.6,0.08,No,No,0.2,5.2,1.8,100.00%,100.00%,66.70%,100.00%,100.00%,100.00%,Yes,97.2,97.2,100,100
Cesar Chavez,Shotwell,Guerrero,17,9,MNC,South,Commercial,No,2007-2008,Q4,2008-10-Apr,4/16/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.05,N/A,2.05,N/A,97,0.45,No,No,0,8,6.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.7,60.7,96.4,96.4
Silver,Barneveld,Dunsmuir,18,9,MNC,North,Residential,No,2007-2008,Q4,2008-10-Apr,4/16/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.75,N/A,2.75,N/A,96.1,0.6,No,No,0,0.2,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.4,29.4,88.2,94.1
16th Street,De Haro,Potrero,19,10,MNC,South,Commercial,No,2007-2008,Q4,2008-10-Apr,4/23/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.4,N/A,2.4,N/A,96.3,0.15,No,No,0,2,3.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,100,100,100
Blanken,Tunnel,Gillette,20,10,MNC,South,Residential,No,2007-2008,Q4,2008-10-Apr,4/16/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.1,N/A,1.8,N/A,97,0.1,Yes,Yes,0,3.8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,75,80,80
Brazil,Mission,Edinburgh,22,11,MNC,South,Residential,No,2007-2008,Q4,2008-10-Apr,4/22/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.8,N/A,2.6,N/A,95,0.1,No,No,0,4.2,3.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,100,100
Randolph,Orizaba,Arch,21,11,MNC,South,Commercial,No,2007-2008,Q4,2008-10-Apr,4/15/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.1,N/A,2.1,N/A,96.5,0,No,No,0,2,6.6,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,23.1,23.1,84.6,100
Anza,25th Avenue,30th Avenue,2,1,CSA,South,Residential,No,2007-2008,Q4,2008-11-May,5/15/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1.53,N/A,1.2,N/A,99.9,0,Yes,No,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76.7,96.7,86.7,100
Clement,21st Avenue,26th Avenue,1,1,CSA,North,Commercial,No,2007-2008,Q4,2008-11-May,5/16/2008 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.4,N/A,2,N/A,96.4,0.4,Yes,No,0,1.2,5.4,100.00%,100.00%,75.00%,100.00%,100.00%,100.00%,Yes,0,80,60,80
